id,event_ts,region,product,amount,quantity,status,email,notes,dup_group
151,2026-05-14 16:00:00,North,charlie,88.09,5,inactive,user151@example.com,,grp-1
152,2026-05-14 14:17:00,North,alpha,104.53,5,pending,user152@example.com,note for record 152,grp-2
153,2026-05-14 20:36:00,South,charlie,113.01,10,pending,user153@example.com,,grp-3
154,2026-05-14 09:45:00,North,bravo,90.02,6,??,user154@example.com,note for record 154,grp-4
155,2026-05-14 16:56:00,East,delta,91.27,6,inactive,user155@example.com,,grp-5
156,2026-05-14 18:46:00,North,charlie,98.74,6,pending,user156@example.com,note for record 156,grp-6
157,2026-05-14 19:12:00,East,alpha,119.87,3,active,user157@example.com,note for record 157,grp-7
158,2026-05-14 19:11:00,South,alpha,95.48,7,inactive,user158@example.com,note for record 158,grp-8
159,2026-05-14 10:10:00,North,delta,86.44,9,active,user159@example.com,note for record 159,grp-9
160,2026-05-14 11:39:00,West,bravo,75.29,6,active,user160@example.com,note for record 160,grp-10
161,2026-05-15 09:43:00,North,charlie,81.33,9,pending,user161@example.com,note for record 161,grp-11
162,2026-05-15 10:46:00,South,delta,99.1,3,inactive,user162@example.com,note for record 162,grp-12
163,2026-05-15 15:34:00,South,bravo,80.75,8,inactive,user163@example.com,note for record 163,grp-13
164,2026-05-15 19:34:00,West,delta,83.95,10,inactive,user164@example.com,note for record 164,grp-14
165,2026-05-15 10:45:00,East,alpha,111.0,3,inactive,user165@example.com,note for record 165,grp-15
166,2026-05-15 16:48:00,East,alpha,75.38,2,inactive,user166@example.com,note for record 166,grp-16
167,2026-05-15 15:27:00,East,alpha,127.63,8,inactive,user167@example.com,note for record 167,grp-17
168,2026-05-15 09:23:00,South,alpha,117.96,6,active,user168@example.com,note for record 168,grp-18
169,2026-05-15 10:29:00,South,delta,108.0,8,active,user169@example.com,,grp-19
170,2026-05-15 11:40:00,West,alpha,109.38,3,active,user170@example.com,,grp-20
171,2026-05-15 15:09:00,North,delta,86.54,2,active,user171@example.com,note for record 171,grp-21
172,2026-05-15 20:15:00,East,delta,83.95,3,??,user172@example.com,note for record 172,grp-22
173,2026-05-15 11:11:00,North,alpha,96.75,6,inactive,user173@example.com,note for record 173,grp-23
174,2026-05-15 14:22:00,North,charlie,94.55,5,inactive,user174@example.com,note for record 174,grp-24
175,2026-05-15 09:46:00,South,alpha,103.29,6,inactive,user175@example.com,note for record 175,grp-25
176,2026-05-15 19:41:00,West,bravo,75.77,8,active,user176@example.com,note for record 176,grp-26
177,2026-05-15 08:37:00,North,charlie,98.79,4,pending,user177@example.com,note for record 177,grp-27
178,2026-05-15 16:04:00,North,bravo,104.32,5,active,user178@example.com,note for record 178,grp-28
179,2026-05-15 10:07:00,West,delta,104.9,7,active,user179@example.com,note for record 179,grp-29
180,2026-05-15 16:51:00,North,delta,84.69,5,pending,user180@example.com,note for record 180,grp-30
181,2026-05-15 13:00:00,East,delta,97.35,5,inactive,user181@example.com,note for record 181,grp-31
182,2026-05-15 15:37:00,East,delta,105.52,1,active,user182@example.com,note for record 182,grp-32
183,2026-05-15 14:12:00,North,bravo,75.11,3,pending,user183@example.com,,grp-33
184,2026-05-15 09:08:00,East,charlie,97.95,4,pending,user184@example.com,note for record 184,grp-34
185,2026-05-15 15:40:00,South,charlie,113.73,2,pending,user185@example.com,note for record 185,grp-35
186,2026-05-15 08:26:00,West,delta,95.43,3,active,user186@example.com,note for record 186,grp-36
187,2026-05-15 15:36:00,South,alpha,104.56,8,active,user187@example.com,note for record 187,grp-37
188,2026-05-15 15:35:00,East,charlie,120.13,2,pending,user188@example.com,note for record 188,grp-38
189,2026-05-15 10:41:00,East,bravo,91.84,3,active,user189@example.com,note for record 189,grp-39
190,2026-05-15 16:25:00,East,charlie,66.64,1,pending,user190@example.com,note for record 190,grp-40
191,2026-05-15 09:07:00,West,delta,78.42,8,active,user191@example.com,note for record 191,grp-41
192,2026-05-15 09:15:00,West,charlie,155.22,8,pending,user192@example.com,note for record 192,grp-42
193,2026-05-15 10:12:00,North,bravo,69.94,1,active,user193@example.com,note for record 193,grp-43
194,2026-05-15 13:54:00,East,alpha,113.55,9,pending,user194@example.com,note for record 194,grp-44
195,2026-05-15 18:40:00,South,bravo,93.96,9,pending,user195@example.com,note for record 195,grp-45
196,2026-05-15 17:37:00,North,alpha,117.51,1,pending,user196@example.com,note for record 196,grp-46
197,2026-05-15 11:35:00,West,charlie,101.66,1,inactive,user197@example.com,note for record 197,grp-47
198,2026-05-15 19:41:00,East,delta,84.52,7,active,user198@example.com,note for record 198,grp-48
199,2026-05-15 15:55:00,East,charlie,105.84,6,active,user199@example.com,note for record 199,grp-49
200,2026-05-15 09:48:00,South,delta,119.64,6,inactive,user200@example.com,,grp-0
201,2026-05-16 12:57:00,South,bravo,128.22,7,pending,user201@example.com,note for record 201,grp-1
202,2026-05-16 10:43:00,West,delta,89.92,8,inactive,user202@example.com,note for record 202,grp-2
203,2026-05-16 16:37:00,East,alpha,89.27,10,inactive,user203@example.com,note for record 203,grp-3
204,2026-05-16 19:28:00,East,alpha,102.96,8,inactive,user204@example.com,note for record 204,grp-4
205,2026-05-16 14:14:00,North,bravo,101.25,7,inactive,user205@example.com,note for record 205,grp-5
206,2026-05-16 17:23:00,North,bravo,85.74,5,inactive,user206@example.com,note for record 206,grp-6
207,2026-05-16 17:31:00,West,alpha,123.33,4,active,user207@example.com,note for record 207,grp-7
208,2026-05-16 16:51:00,South,bravo,90.58,8,pending,user208@example.com,note for record 208,grp-8
209,2026-05-16 18:31:00,West,charlie,99.15,6,active,user209@example.com,note for record 209,grp-9
210,2026-05-16 15:06:00,East,alpha,87.38,10,inactive,user210@example.com,note for record 210,grp-10
211,2026-05-16 17:52:00,West,bravo,78.82,10,pending,user211@example.com,note for record 211,grp-11
212,2026-05-16 10:31:00,North,alpha,88.76,4,inactive,user212@example.com,note for record 212,grp-12
213,2026-05-16 19:47:00,West,alpha,105.06,10,pending,user213@example.com,note for record 213,grp-13
214,2026-05-16 19:18:00,West,charlie,116.97,8,inactive,user214@example.com,note for record 214,grp-14
215,2026-05-16 14:02:00,West,bravo,86.45,5,inactive,user215@example.com,note for record 215,grp-15
216,2026-05-16 13:04:00,South,delta,73.05,5,inactive,user216@example.com,note for record 216,grp-16
217,2026-05-16 20:18:00,West,delta,98.88,9,active,user217@example.com,note for record 217,grp-17
218,2026-05-16 20:11:00,East,delta,107.56,2,pending,user218@example.com,note for record 218,grp-18
219,2026-05-16 17:11:00,South,alpha,97.45,5,pending,user219@example.com,,grp-19
220,2026-05-16 17:03:00,South,alpha,119.1,4,inactive,user220@example.com,note for record 220,grp-20
221,2026-05-16 10:20:00,West,delta,118.96,3,active,user221@example.com,note for record 221,grp-21
222,2026-05-16 12:52:00,North,bravo,100.62,1,pending,user222@example.com,,grp-22
223,2026-05-16 10:59:00,West,delta,75.12,1,pending,user223@example.com,note for record 223,grp-23
224,2026-05-16 08:38:00,East,alpha,114.11,1,inactive,user224@example.com,note for record 224,grp-24
225,2026-05-16 17:16:00,West,charlie,68.9,3,active,user225@example.com,note for record 225,grp-25
226,2026-05-16 19:03:00,South,alpha,95.21,5,inactive,user226@example.com,note for record 226,grp-26
227,2026-05-16 10:59:00,West,charlie,83.59,7,pending,user227@example.com,note for record 227,grp-27
228,2026-05-16 16:08:00,South,alpha,86.26,6,active,user228@example.com,note for record 228,grp-28
229,2026-05-16 13:37:00,East,charlie,92.3,1,active,user229@example.com,note for record 229,grp-29
230,2026-05-16 10:43:00,East,alpha,122.76,7,inactive,user230@example.com,note for record 230,grp-30
231,2026-05-16 10:16:00,East,delta,83.63,10,inactive,user231@example.com,note for record 231,grp-31
232,2026-05-16 11:43:00,North,delta,102.26,4,inactive,user232@example.com,note for record 232,grp-32
233,2026-05-16 09:03:00,South,bravo,115.39,4,pending,user233@example.com,note for record 233,grp-33
234,2026-05-16 20:14:00,West,alpha,71.49,10,inactive,user234@example.com,note for record 234,grp-34
235,2026-05-16 16:45:00,West,charlie,83.34,9,inactive,user235@example.com,,grp-35
236,2026-05-16 11:43:00,North,alpha,109.79,10,pending,user236@example.com,note for record 236,grp-36
237,2026-05-16 09:10:00,West,bravo,116.89,5,pending,user237@example.com,note for record 237,grp-37
238,2026-05-16 15:10:00,West,delta,98.53,6,inactive,user238@example.com,note for record 238,grp-38
239,2026-05-16 19:17:00,North,bravo,105.65,6,inactive,user239@example.com,note for record 239,grp-39
240,2026-05-16 11:48:00,North,charlie,94.32,1,pending,user240@example.com,note for record 240,grp-40
241,2026-05-17 11:55:00,South,alpha,100.22,5,??,user241@example.com,note for record 241,grp-41
242,2026-05-17 08:16:00,South,alpha,113.83,4,active,user242@example.com,note for record 242,grp-42
243,2026-05-17 08:49:00,South,bravo,100.15,8,active,user243@example.com,note for record 243,grp-43
244,2026-05-17 11:59:00,East,charlie,104.51,10,active,user244@example.com,note for record 244,grp-44
245,2026-05-17 15:03:00,South,delta,98.34,10,active,user245@example.com,note for record 245,grp-45
246,2026-05-17 19:27:00,East,delta,105.05,7,inactive,user246@example.com,note for record 246,grp-46
247,2026-05-17 16:04:00,West,alpha,100.61,3,inactive,user247@example.com,note for record 247,grp-47
248,2026-05-17 12:08:00,South,charlie,110.7,5,inactive,user248@example.com,,grp-48
249,2026-05-17 20:21:00,North,alpha,102.33,7,pending,user249@example.com,note for record 249,grp-49
250,2026-05-17 16:10:00,East,charlie,95.72,4,active,user250@example.com,note for record 250,grp-0
251,2026-05-17 20:39:00,South,bravo,143.74,8,active,user251@example.com,note for record 251,grp-1
252,2026-05-17 14:29:00,East,charlie,139.71,8,pending,user252@example.com,note for record 252,grp-2
253,2026-05-17 20:19:00,East,charlie,71.82,4,pending,user253@example.com,note for record 253,grp-3
254,2026-05-17 08:16:00,West,charlie,105.47,5,inactive,user254@example.com,note for record 254,grp-4
255,2026-05-17 12:11:00,East,delta,78.13,6,pending,user255@example.com,note for record 255,grp-5
256,2026-05-17 20:30:00,South,bravo,100.1,6,inactive,user256@example.com,note for record 256,grp-6
257,2026-05-17 18:57:00,North,alpha,117.62,2,pending,user257@example.com,note for record 257,grp-7
258,2026-05-17 08:09:00,West,charlie,95.15,4,pending,user258@example.com,note for record 258,grp-8
259,2026-05-17 16:14:00,West,alpha,98.56,9,??,user259@example.com,note for record 259,grp-9
260,2026-05-17 12:53:00,West,bravo,97.75,1,active,user260@example.com,note for record 260,grp-10
261,2026-05-17 18:34:00,West,alpha,72.81,5,inactive,user261@example.com,note for record 261,grp-11
262,2026-05-17 19:53:00,East,alpha,95.44,4,pending,user262@example.com,,grp-12
263,2026-05-17 14:28:00,South,alpha,87.78,1,inactive,user263@example.com,note for record 263,grp-13
264,2026-05-17 09:37:00,North,bravo,111.89,9,pending,user264@example.com,note for record 264,grp-14
265,2026-05-17 08:47:00,North,bravo,120.24,5,inactive,not-an-email-265,note for record 265,grp-15
266,2026-05-17 10:27:00,North,charlie,89.55,7,active,user266@example.com,note for record 266,grp-16
267,2026-05-17 19:33:00,North,charlie,110.72,3,inactive,user267@example.com,,grp-17
268,2026-05-17 18:19:00,West,charlie,91.85,10,??,user268@example.com,note for record 268,grp-18
269,2026-05-17 16:22:00,West,bravo,102.61,7,pending,user269@example.com,note for record 269,grp-19
270,2026-05-17 13:02:00,North,alpha,118.86,4,inactive,user270@example.com,note for record 270,grp-20
271,2026-05-17 20:37:00,North,charlie,89.09,2,inactive,user271@example.com,,grp-21
272,2026-05-17 15:21:00,West,alpha,109.07,8,??,user272@example.com,,grp-22
273,2026-05-17 18:12:00,East,delta,106.43,1,active,user273@example.com,note for record 273,grp-23
274,2026-05-17 12:08:00,South,delta,70.75,10,inactive,user274@example.com,note for record 274,grp-24
275,2026-05-17 09:04:00,West,alpha,105.99,5,active,user275@example.com,note for record 275,grp-25
276,2026-05-17 18:31:00,West,alpha,110.46,4,active,user276@example.com,note for record 276,grp-26
277,2026-05-17 18:35:00,East,delta,78.24,8,pending,user277@example.com,note for record 277,grp-27
278,2026-05-17 13:28:00,South,delta,120.46,10,inactive,user278@example.com,note for record 278,grp-28
279,2026-05-17 19:51:00,East,delta,73.61,4,inactive,user279@example.com,note for record 279,grp-29
280,2026-05-17 11:24:00,South,alpha,70.86,10,inactive,user280@example.com,note for record 280,grp-30
281,2026-05-18 12:58:00,West,bravo,102.78,7,active,user281@example.com,note for record 281,grp-31
282,2026-05-18 15:13:00,North,delta,95.05,7,inactive,user282@example.com,note for record 282,grp-32
283,2026-05-18 19:48:00,North,alpha,96.42,6,pending,user283@example.com,note for record 283,grp-33
284,2026-05-18 18:27:00,West,charlie,102.02,1,inactive,user284@example.com,,grp-34
285,2026-05-18 11:47:00,South,delta,81.9,10,inactive,user285@example.com,note for record 285,grp-35
286,2026-05-18 16:32:00,East,alpha,98.78,3,inactive,user286@example.com,note for record 286,grp-36
287,2026-05-18 09:58:00,East,charlie,111.87,6,active,user287@example.com,note for record 287,grp-37
288,2026-05-18 09:39:00,West,charlie,78.82,8,active,user288@example.com,note for record 288,grp-38
289,2026-05-18 13:51:00,South,bravo,86.51,3,inactive,user289@example.com,note for record 289,grp-39
290,2026-05-18 11:57:00,South,bravo,81.92,7,inactive,user290@example.com,note for record 290,grp-40
291,2026-05-18 11:22:00,South,bravo,84.9,1,pending,user291@example.com,,grp-41
292,2026-05-18 09:44:00,South,charlie,104.95,9,inactive,user292@example.com,note for record 292,grp-42
293,2026-05-18 16:21:00,West,delta,78.91,10,inactive,user293@example.com,note for record 293,grp-43
294,2026-05-18 10:56:00,North,bravo,96.29,5,active,user294@example.com,note for record 294,grp-44
295,2026-05-18 19:50:00,South,delta,109.38,10,inactive,user295@example.com,note for record 295,grp-45
296,2026-05-18 19:00:00,South,delta,111.54,3,active,user296@example.com,note for record 296,grp-46
